procedure,subtype,current_step,next_step,component,brand,cost,source
Complete Denture,CD Special Tray,Start,Special Tray,No Component Required,Generic,0,DIAS
Complete Denture,CD Occlusal Rims,Start,Secondary Cast,No Component Required,Generic,0,DIAS
Complete Denture,CD Occlusal Rims,Secondary Cast,Denture Base,No Component Required,Generic,0,DIAS
Complete Denture,CD Occlusal Rims,Denture Base,Occlusal Rims,No Component Required,Generic,0,DIAS
Complete Denture,BPS Teeth Setting,Occlusal Rims,Articulation,No Component Required,Generic,0,DIAS
Complete Denture,BPS Teeth Setting,Articulation,BPS Teeth Setting,Teeth set,Ivoclar,50,DIAS
Complete Denture,CD Teeth Setting,Occlusal Rims,Articulation,No Component Required,Generic,0,DIAS
Complete Denture,CD Teeth Setting,Articulation,CD Teeth Setting,Teeth set,Acryrock,280,DIAS
Complete Denture,CD Processing,CD Teeth Setting,Denture Processing,Acrylic Denture Base,Generic,60,DIAS
Complete Denture,BPS CD Processing,BPS Teeth Setting,BPS Denture Processing,Acrylic Denture Base,Ivoclar,700,DIAS
Complete Denture,CD Repair,Start,Relining Rebasing Repair,Acrylic Denture Base,Generic,60,DIAS
Complete Denture,CD Teeth Correction,Start,Teeth Setting Correction,No Component Required,Generic,0,DIAS
FPD,Full Metal Crown,Start,Secondary Cast,No Component Required,Generic,0,DIAS
FPD,Full Metal Crown,Secondary Cast,FPD Wax Pattern,No Component Required,Generic,0,DIAS
FPD,Full Metal Crown,FPD Wax Pattern,Crown Fabrication,All Metal Crown,Generic,400,DIAS
FPD,Metal Ceramic,Start,Secondary Cast,No Component Required,Generic,0,DIAS
FPD,Metal Ceramic,Secondary Cast,FPD Wax Pattern,No Component Required,Generic,0,DIAS
FPD,Metal Ceramic,FPD Wax Pattern,Metal Coping,Metal Ceramic Crown,Generic,1300,DIAS
FPD,Metal Ceramic,Metal Coping,Bisque Trial,No Component Required,Generic,0,DIAS
FPD,Metal with Ceramic Facing,Start,Secondary Cast,No Component Required,Generic,0,DIAS
FPD,Metal with Ceramic Facing,Secondary Cast,FPD Wax Pattern,No Component Required,Generic,0,DIAS
FPD,Metal with Ceramic Facing,FPD Wax Pattern,Ceramic Facing,Metal Ceramic Crown,Generic,1300,DIAS
FPD,Metal with Ceramic Facing,Ceramic Facing,Bisque Trial,No Component Required,Generic,0,DIAS
FPD,Hand Layered Crown,Start,Secondary Cast,No Component Required,Generic,0,DIAS
FPD,Hand Layered Crown,Secondary Cast,Ceramic Coping,Hand Layered Crown,Chinese Zirconia,1300,DIAS
FPD,Hand Layered Crown,Ceramic Coping,Bisque Trial,No Component Required,Generic,0,DIAS
FPD,Monolithic Crown,Start,Secondary Cast,No Component Required,Generic,0,DIAS
FPD,Monolithic Crown,Secondary Cast,Crown Fabrication,Monolithic Crown,Chinese Zirconia,1000,DIAS
FVC Single Crown,Metal with Ceramic Facing,Start,Secondary Cast,No Component Required,Generic,0,DIAS
FVC Single Crown,Metal with Ceramic Facing,Secondary Cast,FVC Wax Pattern,No Component Required,Generic,0,DIAS
FVC Single Crown,Metal with Ceramic Facing,FVC Wax Pattern,Ceramic Facing,Metal Ceramic Crown,Generic,1300,DIAS
FVC Single Crown,Metal with Ceramic Facing,Ceramic Facing,Bisque Trial,No Component Required,Generic,0,DIAS
FVC Single Crown,Monolithic Crown,Start,Secondary Cast,No Component Required,Generic,0,DIAS
FVC Single Crown,Monolithic Crown,Secondary Cast,Crown Fabrication,Monolithic Crown,Chinese Zirconia,1000,DIAS
FVC Single Crown,Hand Layered Crown,Start,Secondary Cast,No Component Required,Generic,0,DIAS
FVC Single Crown,Hand Layered Crown,Secondary Cast,Ceramic Coping,Hand Layered Crown,Chinese Zirconia,1300,DIAS
FVC Single Crown,Hand Layered Crown,Ceramic Coping,Bisque Trial,No Component Required,Generic,0,DIAS
FVC Single Crown,Metal Endo Crown,Start,Secondary Cast,No Component Required,Generic,0,DIAS
FVC Single Crown,Metal Endo Crown,Secondary Cast,FVC Wax Pattern,No Component Required,Generic,0,DIAS
FVC Single Crown,Metal Endo Crown,FVC Wax Pattern,Endo Crown Fabrication,Metal Endo Crown,Generic,800,DIAS
FVC Single Crown,Ceramic Endo Crown,Start,Secondary Cast,No Component Required,Generic,0,DIAS
FVC Single Crown,Ceramic Endo Crown,Secondary Cast,Endo Crown Fabrication,Ceramic Endo Crown,Chinese Zirconia,1000,DIAS
FVC Single Crown,Emax,Start,Crown Fabrication,Monolithic Crown,German Zirconia,2000,DIAS
Implant,Monolithic,Start,Crown Fabrication,Monolithic Crown,Chinese Zirconia,1000,DIAS
Implant,Hand Layered Crown,Start,Ceramic Coping,Hand Layered Crown,Chinese Zirconia,1300,DIAS
Implant,Hand Layered Crown,Ceramic Coping,Bisque Trial,No Component Required,Generic,0,DIAS
Implant,Metal Ceramic,Start,FPD Wax Pattern,No Component Required,Generic,0,DIAS
Implant,Metal Ceramic,FPD Wax Pattern,Metal Coping,Metal Ceramic Crown,Generic,1300,DIAS
Implant,Metal Ceramic,Metal Coping,Bisque Trial,No Component Required,Generic,0,DIAS
Implant,Metal with Ceramic Facing,Start,FPD Wax Pattern,No Component Required,Generic,0,DIAS
Implant,Metal with Ceramic Facing,FPD Wax Pattern,Ceramic Facing,Metal Ceramic Crown,Generic,1300,DIAS
Implant,Metal with Ceramic Facing,Ceramic Facing,Bisque Trial,No Component Required,Generic,0,DIAS
Implant,Castable Abutment,Start,Implant Wax Pattern,No Component Required,Generic,0,DIAS
Implant,Castable Abutment,Implant Wax Pattern,Metal Cast Custom Abutment,Metal Ceramic Crown,Generic,1300,DIAS
Implant,Castable Abutment,Metal Cast Custom Abutment,Bisque Trial,No Component Required,Generic,0,DIAS
Implant,Jig Trial,Start,Secondary Cast,No Component Required,Generic,0,DIAS
Implant,Jig Trial,Secondary Cast,Verification Jig,No Component Required,Generic,0,DIAS
Cast Partial Denture,DMLS Co-Cr,Start,DMLS Printing,Metal Denture Base,Co-cr,1000,DIAS
Cast Partial Denture,DMLS Titanium,Start,DMLS Printing,Metal Denture Base,Titanium,2500,DIAS
Cast Partial Denture,Manual,Start,Cast Pouring,No Component Required,Generic,0,DIAS
Cast Partial Denture,Manual,Cast Pouring,Block Out,No Component Required,Generic,0,DIAS
Cast Partial Denture,Manual,Block Out,CPD Wax Pattern,No Component Required,Generic,0,DIAS
Cast Partial Denture,Manual,CPD Wax Pattern,CPD Metal Denture Base,Metal Denture Base,Generic,1500,DIAS
